EmployeeID,Age,Department,MaritalStatus,EducationField,DistanceFromHome,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,BusinessTravel,Gender,StockOptionLevel,PercentSalaryHike,JobRole,Attrition
58,24,Sales,Married,Human Resources,7,5200,23,6,5,30,5,0,3,1,2,2,2,4,No,Travel_Rarely,Male,2,11,Manager,No
59,49,Research & Development,Married,Life Sciences,29,12203,5,9,13,6,4,5,2,3,4,4,3,4,No,Travel_Rarely,Female,0,12,Manufacturing Director,No
60,46,Human Resources,Divorced,Other,16,15165,4,13,2,8,1,0,4,3,2,3,4,3,Yes,Non-Travel,Female,2,22,HR Manager,No
61,56,Sales,Divorced,Technical Degree,20,15697,10,5,10,15,3,3,2,1,4,3,3,3,Yes,Travel_Rarely,Female,1,10,Manager,Yes
62,49,Sales,Single,Life Sciences,23,19236,9,6,1,14,2,3,1,3,1,1,1,3,No,Travel_Rarely,Male,1,10,Manager,No
63,33,Human Resources,Married,Marketing,19,7885,1,1,11,1,0,4,4,4,2,2,2,3,No,Non-Travel,Female,1,11,HR Manager,No
64,58,Research & Development,Single,Other,10,7447,11,6,1,15,3,8,3,1,3,3,3,3,Yes,Travel_Rarely,Male,3,18,Research Director,No
65,35,Sales,Married,Medical,18,19450,6,10,3,12,2,4,2,4,2,2,3,3,No,Travel_Frequently,Female,0,20,Sales Representative,No
66,31,Research & Development,Single,Other,19,19750,3,11,5,8,2,3,3,2,3,4,3,3,No,Travel_Rarely,Female,2,20,Research Scientist,No
67,56,Research & Development,Single,Marketing,25,5237,6,5,10,13,0,0,3,2,3,1,3,3,No,Travel_Rarely,Male,0,20,Research Scientist,No
68,33,Research & Development,Married,Medical,14,8810,0,1,0,7,3,7,1,3,1,1,3,3,No,Travel_Rarely,Male,2,10,Research Director,Yes
69,21,Research & Development,Married,Marketing,15,19065,22,10,3,23,3,2,1,1,3,2,4,3,Yes,Travel_Frequently,Female,0,15,Research Director,No
70,37,Sales,Divorced,Technical Degree,15,5595,24,11,5,32,0,4,3,1,4,2,3,4,No,Non-Travel,Male,3,19,Sales Representative,No
71,51,Sales,Single,Human Resources,4,16096,9,1,10,17,3,0,1,4,4,4,3,3,Yes,Travel_Rarely,Female,3,20,Manager,Yes
72,25,Research & Development,Single,Other,3,4021,21,9,14,29,1,2,3,2,2,4,2,3,No,Travel_Rarely,Female,3,15,Research Scientist,No
73,37,Sales,Married,Medical,1,5209,11,1,9,19,0,4,2,1,2,2,2,4,Yes,Travel_Rarely,Male,1,22,Sales Representative,Yes
74,23,Research & Development,Single,Other,20,16129,22,8,7,24,2,8,1,3,4,3,3,3,No,Travel_Rarely,Male,3,22,Manufacturing Director,No
75,46,Research & Development,Single,Technical Degree,13,12934,4,11,5,10,2,2,3,1,4,2,4,3,No,Travel_Frequently,Male,0,21,Research Scientist,No
76,37,Sales,Divorced,Life Sciences,26,11986,7,12,12,11,5,5,2,4,4,3,4,3,No,Travel_Rarely,Female,1,21,Manager,No
77,31,Research & Development,Single,Other,21,17418,18,12,1,27,0,7,2,1,4,3,3,3,No,Non-Travel,Male,0,24,Laboratory Technician,Yes
78,27,Sales,Single,Marketing,5,7528,5,13,1,13,2,3,1,3,2,3,4,4,No,Non-Travel,Male,0,21,Sales Executive,No
79,41,Research & Development,Married,Technical Degree,3,11059,20,4,3,21,4,2,3,2,1,4,1,4,No,Travel_Rarely,Male,1,18,Manufacturing Director,No
80,46,Sales,Married,Human Resources,11,12952,10,15,4,19,1,0,4,4,1,3,2,3,Yes,Non-Travel,Female,2,15,Sales Representative,Yes
81,57,Research & Development,Married,Life Sciences,27,15317,10,6,6,16,5,8,3,3,2,2,1,3,No,Travel_Rarely,Female,3,15,Manufacturing Director,No
82,36,Research & Development,Married,Medical,2,7977,11,6,14,16,4,0,1,4,4,1,3,3,No,Travel_Frequently,Female,0,22,Manufacturing Director,Yes
83,24,Research & Development,Divorced,Human Resources,6,13405,19,14,9,23,5,1,4,1,2,3,4,3,No,Non-Travel,Female,1,14,Manufacturing Director,No
84,52,Research & Development,Single,Medical,1,10070,0,5,5,4,5,1,1,2,2,4,1,3,No,Travel_Frequently,Female,2,19,Laboratory Technician,Yes
85,44,Research & Development,Married,Life Sciences,12,11755,18,1,3,25,0,6,2,4,4,3,1,3,No,Travel_Frequently,Female,0,17,Research Director,Yes
86,47,Research & Development,Married,Life Sciences,29,17527,19,12,9,26,2,3,1,1,1,4,2,4,No,Non-Travel,Male,2,15,Research Director,No
87,22,Research & Development,Divorced,Human Resources,20,9085,20,11,3,25,4,6,4,4,3,2,4,3,Yes,Travel_Rarely,Male,2,16,Laboratory Technician,Yes
88,31,Human Resources,Married,Life Sciences,15,14026,24,10,14,33,0,5,1,4,3,1,1,3,No,Travel_Frequently,Female,2,11,HR Specialist,No
89,50,Research & Development,Married,Life Sciences,5,18955,19,2,7,21,2,0,3,3,4,3,4,3,Yes,Travel_Rarely,Male,0,20,Laboratory Technician,No
90,52,Research & Development,Single,Technical Degree,11,15723,13,11,8,17,4,2,1,1,2,1,1,3,No,Travel_Rarely,Male,0,11,Research Director,No
91,36,Sales,Single,Life Sciences,16,19797,11,3,13,16,4,0,1,4,3,1,2,3,No,Travel_Frequently,Female,3,11,Sales Executive,Yes
92,51,Research & Development,Single,Technical Degree,8,12502,9,9,4,10,2,0,3,4,4,3,3,3,No,Travel_Rarely,Female,3,13,Research Director,No
93,53,Research & Development,Married,Technical Degree,21,7075,20,9,7,24,5,4,4,2,4,2,3,3,Yes,Travel_Rarely,Male,1,17,Manufacturing Director,Yes
94,34,Research & Development,Single,Technical Degree,29,19845,9,13,7,17,4,2,1,3,3,3,4,3,No,Travel_Rarely,Male,2,14,Laboratory Technician,No
95,55,Sales,Married,Marketing,6,13602,14,17,4,20,0,0,1,1,3,3,1,3,No,Travel_Rarely,Male,2,23,Sales Executive,No
96,30,Research & Development,Single,Human Resources,8,6345,2,3,0,9,1,3,2,2,4,2,1,3,No,Travel_Rarely,Male,2,23,Manufacturing Director,Yes
97,28,Research & Development,Divorced,Technical Degree,4,7709,7,2,4,8,5,4,4,1,4,3,2,3,No,Travel_Rarely,Male,2,15,Manufacturing Director,No
98,46,Research & Development,Divorced,Marketing,22,6721,6,10,1,7,0,8,1,3,3,3,3,3,No,Travel_Rarely,Male,2,24,Research Scientist,No
99,44,Sales,Single,Life Sciences,14,17004,10,17,10,14,0,5,1,3,2,3,2,3,No,Travel_Frequently,Female,0,11,Manager,Yes
100,23,Human Resources,Single,Medical,9,3666,12,2,0,15,2,3,2,3,3,3,3,3,Yes,Travel_Rarely,Male,0,12,HR Specialist,Yes
101,52,Sales,Single,Life Sciences,7,15318,17,8,4,17,5,4,2,3,1,2,2,3,No,Travel_Rarely,Male,3,15,Sales Representative,No
102,26,Sales,Divorced,Life Sciences,3,11972,10,7,13,15,4,0,1,4,3,3,4,3,No,Travel_Rarely,Female,2,24,Sales Representative,Yes
103,51,Research & Development,Single,Medical,14,3322,3,5,8,10,0,3,3,1,2,3,1,3,No,Travel_Rarely,Male,0,17,Manufacturing Director,No
104,18,Human Resources,Married,Medical,20,13040,13,11,10,20,2,5,3,1,4,1,3,3,Yes,Travel_Rarely,Male,0,20,HR Specialist,Yes
105,51,Sales,Married,Life Sciences,7,15556,1,5,10,2,5,0,1,1,3,1,3,3,No,Travel_Rarely,Male,0,19,Sales Representative,No
106,51,Research & Development,Married,Medical,1,15067,21,8,4,28,1,8,3,4,4,1,1,3,No,Travel_Rarely,Female,2,17,Research Director,No
107,50,Research & Development,Married,Technical Degree,14,11513,19,15,9,22,3,4,1,1,4,1,3,3,No,Travel_Frequently,Male,2,23,Laboratory Technician,Yes
108,45,Research & Development,Married,Medical,20,8038,5,6,3,6,2,7,3,1,4,2,1,4,Yes,Travel_Rarely,Male,0,24,Manufacturing Director,No
109,37,Research & Development,Divorced,Medical,11,4949,6,0,9,10,4,2,2,1,1,4,3,3,No,Non-Travel,Male,0,16,Laboratory Technician,No
110,47,Research & Development,Single,Life Sciences,8,2220,0,15,10,2,4,7,1,4,4,4,3,3,No,Travel_Frequently,Female,0,20,Research Scientist,No
111,29,Research & Development,Divorced,Life Sciences,5,8471,9,4,13,15,4,3,1,3,2,4,1,4,Yes,Travel_Rarely,Female,1,19,Manufacturing Director,No
112,50,Research & Development,Single,Life Sciences,22,13380,0,13,13,7,0,8,4,4,3,3,1,3,No,Travel_Rarely,Female,0,18,Laboratory Technician,No
113,41,Research & Development,Married,Marketing,25,2677,23,13,0,30,2,4,3,1,2,1,2,3,No,Travel_Rarely,Female,1,11,Laboratory Technician,No
114,37,Research & Development,Divorced,Technical Degree,23,19976,3,9,4,4,4,5,3,2,2,2,4,3,No,Travel_Rarely,Male,0,13,Research Director,Yes
115,39,Sales,Married,Human Resources,16,12547,16,1,8,19,2,1,1,3,4,4,1,4,Yes,Travel_Rarely,Male,3,24,Manager,Yes
116,41,Human Resources,Married,Technical Degree,21,7301,14,17,4,18,4,8,1,1,4,4,4,3,No,Travel_Frequently,Male,3,13,HR Specialist,No
117,19,Research & Development,Single,Technical Degree,12,19317,5,12,9,14,3,1,1,4,3,4,3,3,Yes,Travel_Rarely,Male,1,19,Manufacturing Director,Yes
118,23,Research & Development,Married,Other,1,5310,20,7,12,25,2,0,2,4,1,2,4,4,No,Travel_Frequently,Male,3,23,Manufacturing Director,No
119,28,Sales,Married,Medical,11,19236,2,15,3,8,0,3,2,1,1,2,4,3,No,Travel_Rarely,Male,2,19,Sales Executive,Yes
120,22,Sales,Married,Human Resources,21,7071,22,14,13,25,5,7,4,4,1,3,2,3,No,Travel_Rarely,Female,0,13,Sales Executive,No
121,36,Research & Development,Married,Other,19,8835,18,13,13,20,4,8,4,2,4,1,3,3,Yes,Travel_Rarely,Female,1,22,Manufacturing Director,Yes
122,46,Sales,Married,Technical Degree,29,9657,15,3,13,22,5,7,2,2,2,1,3,3,No,Travel_Rarely,Male,0,10,Manager,Yes
123,45,Human Resources,Single,Other,29,19907,21,11,1,29,1,4,2,4,1,1,1,3,Yes,Travel_Rarely,Male,2,20,HR Manager,No
124,37,Research & Development,Single,Life Sciences,8,6516,10,5,4,10,1,8,2,3,3,3,3,4,No,Travel_Rarely,Male,3,13,Laboratory Technician,No
125,53,Research & Development,Married,Other,1,19511,7,1,1,12,1,4,3,1,4,1,2,3,No,Non-Travel,Male,2,19,Manufacturing Director,No
126,41,Research & Development,Single,Technical Degree,8,8245,3,6,1,10,0,4,3,4,3,3,1,3,No,Travel_Rarely,Male,0,17,Laboratory Technician,Yes
127,21,Research & Development,Divorced,Medical,26,7133,23,1,0,24,1,1,3,3,2,2,4,3,No,Travel_Rarely,Male,0,18,Research Director,No
128,50,Sales,Married,Life Sciences,24,13487,10,1,6,16,1,7,1,1,1,4,2,3,Yes,Travel_Rarely,Male,1,15,Sales Representative,Yes
129,42,Research & Development,Single,Human Resources,3,14487,20,13,1,24,5,2,2,3,4,1,4,4,Yes,Travel_Rarely,Female,0,17,Research Director,Yes
130,44,Research & Development,Married,Marketing,5,8210,8,9,4,13,1,1,4,3,1,2,1,3,No,Non-Travel,Male,0,24,Laboratory Technician,No
131,41,Research & Development,Divorced,Medical,17,4413,23,7,14,28,3,3,2,2,4,1,3,3,No,Non-Travel,Male,1,22,Research Director,Yes
132,41,Research & Development,Single,Marketing,20,9129,21,3,13,29,3,5,1,2,1,2,2,4,Yes,Travel_Rarely,Male,2,16,Manufacturing Director,Yes
133,21,Human Resources,Single,Other,29,11727,7,13,14,7,2,2,1,4,1,3,4,4,No,Non-Travel,Male,0,24,HR Manager,Yes
134,41,Research & Development,Single,Marketing,22,2720,12,11,0,14,5,3,1,1,2,1,4,3,No,Travel_Rarely,Male,3,23,Research Scientist,Yes
135,51,Sales,Single,Life Sciences,7,3415,19,10,9,22,0,2,4,3,1,3,4,3,No,Travel_Rarely,Female,1,19,Manager,No
136,30,Research & Development,Married,Medical,2,18522,5,3,9,13,5,5,1,4,1,4,4,3,No,Travel_Rarely,Male,0,18,Research Scientist,Yes
137,43,Research & Development,Divorced,Life Sciences,19,2645,0,2,1,5,4,6,3,4,1,1,4,3,Yes,Travel_Frequently,Male,0,10,Research Director,No
138,19,Sales,Single,Human Resources,17,9323,7,2,13,8,1,6,2,2,3,1,2,3,Yes,Travel_Frequently,Female,3,17,Sales Executive,Yes
139,32,Sales,Married,Human Resources,27,15750,14,0,6,14,4,1,1,2,4,4,4,4,No,Travel_Rarely,Male,2,13,Manager,Yes
140,36,Research & Development,Single,Other,17,7906,3,17,14,12,2,3,4,4,1,3,3,3,No,Travel_Rarely,Male,3,12,Manufacturing Director,No
141,59,Sales,Married,Technical Degree,15,10905,8,6,1,9,5,5,3,2,3,4,2,3,No,Travel_Rarely,Female,3,22,Sales Representative,No
142,27,Human Resources,Married,Human Resources,9,3556,22,11,9,22,0,1,4,3,2,3,1,3,No,Travel_Rarely,Male,3,14,HR Manager,No
143,29,Sales,Married,Marketing,3,16299,1,17,1,5,0,0,4,3,2,3,3,3,Yes,Travel_Rarely,Female,3,19,Sales Representative,No
144,35,Sales,Single,Technical Degree,26,13415,1,16,14,6,3,2,4,3,2,1,2,3,No,Travel_Rarely,Male,3,23,Sales Executive,Yes
145,59,Research & Development,Married,Life Sciences,24,17329,10,5,9,12,5,6,3,3,4,3,3,3,No,Travel_Rarely,Female,3,18,Research Scientist,No
146,53,Research & Development,Divorced,Technical Degree,5,17548,0,8,1,1,0,5,3,2,3,2,1,3,Yes,Travel_Rarely,Male,3,21,Research Director,Yes
147,19,Sales,Single,Technical Degree,21,8314,0,8,3,0,4,1,3,2,3,4,3,3,No,Travel_Rarely,Female,1,21,Sales Representative,Yes
148,27,Sales,Single,Life Sciences,11,2740,4,0,5,8,5,6,2,2,4,1,3,3,No,Travel_Rarely,Female,2,16,Manager,No
149,52,Sales,Single,Technical Degree,13,8234,2,13,0,11,2,1,1,3,3,1,3,3,No,Travel_Frequently,Female,3,23,Sales Executive,No
150,20,Research & Development,Married,Human Resources,25,4614,20,10,0,21,5,6,2,4,1,3,3,3,No,Travel_Frequently,Female,3,23,Research Scientist,No
151,53,Research & Development,Married,Marketing,25,11599,3,6,13,8,4,5,2,3,1,4,4,3,Yes,Travel_Rarely,Female,0,15,Research Director,No
152,29,Sales,Married,Technical Degree,6,4635,13,10,14,14,1,1,1,3,2,4,4,3,No,Travel_Rarely,Male,0,22,Sales Executive,No
153,56,Sales,Married,Medical,9,18594,17,13,8,23,5,3,4,2,1,3,2,3,No,Travel_Frequently,Male,0,12,Manager,No
154,30,Research & Development,Divorced,Medical,24,12840,15,0,13,15,4,7,4,4,3,2,4,3,Yes,Travel_Rarely,Male,2,11,Laboratory Technician,No
155,36,Human Resources,Divorced,Life Sciences,27,6554,16,11,9,18,0,3,2,2,2,2,4,3,No,Non-Travel,Male,1,17,HR Manager,Yes
156,45,Research & Development,Single,Medical,3,18582,8,15,0,8,3,6,2,2,1,4,1,3,No,Travel_Rarely,Male,2,19,Research Scientist,Yes
157,23,Research & Development,Married,Human Resources,25,15854,22,13,10,28,3,6,4,1,2,1,2,4,No,Travel_Rarely,Female,0,18,Laboratory Technician,No
158,41,Sales,Single,Other,15,9879,1,11,0,8,4,0,2,2,4,1,3,3,No,Travel_Rarely,Female,0,21,Manager,No
159,39,Sales,Married,Technical Degree,18,4637,2,1,12,3,4,8,3,3,4,3,3,3,No,Travel_Rarely,Female,3,15,Sales Representative,No
160,50,Sales,Divorced,Technical Degree,3,8188,21,13,5,25,2,3,3,1,4,2,1,3,Yes,Travel_Rarely,Male,1,22,Sales Representative,Yes
161,59,Research & Development,Married,Technical Degree,20,12512,1,13,2,3,1,7,2,1,4,2,2,3,Yes,Non-Travel,Female,0,23,Research Director,No
162,45,Research & Development,Divorced,Marketing,20,15785,4,8,3,4,1,4,4,4,3,4,2,3,Yes,Travel_Frequently,Female,0,11,Laboratory Technician,No
163,35,Human Resources,Married,Marketing,20,6714,4,10,10,4,0,5,1,4,4,2,3,4,No,Travel_Rarely,Female,1,16,HR Manager,No
164,35,Human Resources,Married,Technical Degree,23,15366,0,11,12,9,3,3,1,2,4,4,3,3,No,Travel_Rarely,Female,1,13,HR Manager,No
165,35,Human Resources,Married,Human Resources,28,7091,2,2,8,8,5,7,3,2,3,1,1,3,No,Travel_Rarely,Male,3,19,HR Specialist,No
166,52,Human Resources,Single,Marketing,25,6441,14,4,2,20,0,1,3,3,2,2,1,3,Yes,Travel_Rarely,Male,0,16,HR Specialist,No
167,31,Sales,Single,Technical Degree,22,10046,16,14,13,18,4,8,4,4,4,1,2,3,Yes,Travel_Rarely,Female,2,14,Sales Representative,No
168,25,Sales,Married,Marketing,29,4894,2,17,11,4,3,1,3,2,2,3,1,4,No,Travel_Rarely,Female,1,13,Manager,No
169,32,Sales,Single,Medical,20,9283,23,4,6,30,1,7,1,1,1,4,4,3,Yes,Travel_Rarely,Female,1,15,Sales Executive,Yes
170,18,Research & Development,Divorced,Medical,20,8440,2,7,8,6,1,0,4,2,1,4,2,3,No,Travel_Rarely,Female,1,11,Manufacturing Director,Yes
171,22,Sales,Single,Life Sciences,16,7040,17,16,14,18,1,0,2,2,3,1,3,4,No,Travel_Frequently,Female,1,11,Sales Executive,No
172,21,Research & Development,Single,Marketing,23,15960,20,2,5,24,4,0,1,3,1,4,1,4,No,Travel_Frequently,Female,2,19,Laboratory Technician,No
173,50,Research & Development,Married,Human Resources,3,7971,13,4,0,18,1,4,3,1,1,1,2,3,No,Travel_Rarely,Female,2,24,Research Director,No
174,48,Research & Development,Single,Human Resources,15,14511,12,1,2,17,4,2,1,3,1,3,4,3,No,Travel_Rarely,Female,0,17,Manufacturing Director,Yes
175,47,Sales,Divorced,Other,13,14965,2,4,9,7,2,5,2,1,3,3,3,3,Yes,Travel_Rarely,Male,0,23,Manager,Yes
176,37,Sales,Married,Life Sciences,27,13985,6,11,14,14,0,7,2,4,2,1,2,4,No,Travel_Frequently,Male,0,12,Sales Executive,No
177,48,Sales,Single,Human Resources,3,6847,21,6,11,23,0,0,1,3,3,1,3,3,Yes,Travel_Frequently,Male,3,24,Manager,No
178,24,Research & Development,Married,Human Resources,19,16929,8,17,9,13,2,4,4,1,3,1,3,3,Yes,Travel_Rarely,Male,1,18,Research Director,No
179,55,Research & Development,Married,Marketing,6,6257,0,16,4,8,2,6,3,4,4,3,1,3,No,Travel_Frequently,Female,2,21,Research Director,No
180,39,Research & Development,Married,Medical,26,6988,18,16,6,27,4,3,4,3,1,3,4,3,Yes,Travel_Rarely,Female,1,10,Laboratory Technician,Yes
181,57,Sales,Divorced,Marketing,25,17749,17,13,0,26,2,8,2,3,2,1,4,3,No,Travel_Rarely,Male,1,19,Manager,No
